time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-19 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,3,1,0,0
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,4,1,0,0
2024-08-27 00:00:00+00:00,2,2,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-08-30 00:00:00+00:00,2,1,0,0
2024-08-31 00:00:00+00:00,4,2,1,1
2024-09-02 00:00:00+00:00,2,2,0,0
2024-09-03 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,2,1,0,0
2024-09-09 00:00:00+00:00,5,2,0,0
2024-09-10 00:00:00+00:00,5,3,0,0
2024-09-13 00:00:00+00:00,2,2,0,0
2024-09-16 00:00:00+00:00,3,2,0,0
2024-09-18 00:00:00+00:00,1,1,0,0
2024-09-20 00:00:00+00:00,6,4,0,0
2024-09-21 00:00:00+00:00,3,3,0,0
2024-09-22 00:00:00+00:00,2,1,0,0
2024-09-23 00:00:00+00:00,3,1,0,0
2024-09-24 00:00:00+00:00,1,1,0,0
2024-09-25 00:00:00+00:00,2,2,0,0
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-29 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,3,1,0,0
